Session_ID,Vehicle_ID,Session_Date,Charging_Type,Energy_kWh,Duration_Hours,Cost_NPR,City,Station_ID,Battery_Level_Start
CHG00001,EV0435,2023-04-06,Home Charging,12.6,5.4,100.8,Tulsipur,STN015,40
CHG00002,EV0437,2024-03-24,Public Slow Charging,15.0,7.3,225.0,Tulsipur,STN097,37
CHG00003,EV0150,2023-06-19,Public Fast Charging,16.0,1.2,256.0,Tulsipur,STN064,30
CHG00004,EV0538,2022-05-12,Home Charging,18.9,4.6,226.8,Dharan,STN086,12
CHG00005,EV0062,2024-05-29,Home Charging,23.3,7.0,256.3,Butwal,STN071,25
CHG00006,EV0165,2023-07-15,Home Charging,15.8,7.9,205.4,Butwal,STN011,10
CHG00007,EV0201,2024-02-17,Public Fast Charging,24.7,1.3,494.0,Birendranagar,STN059,16
CHG00008,EV0337,2024-12-17,Public Slow Charging,24.4,7.0,244.0,Attariya,STN032,30
CHG00009,EV0431,2022-09-06,Public Slow Charging,34.8,6.2,313.2,Attariya,STN053,15
CHG00010,EV0612,2022-09-17,Public Fast Charging,20.4,0.8,428.4,Nepalgunj,STN060,16
CHG00011,EV0094,2024-06-23,Public Slow Charging,27.5,7.2,220.0,Rajbiraj,STN095,21
CHG00012,EV0050,2023-01-12,Public Fast Charging,31.3,1.3,657.3,Banepa,STN011,34
CHG00013,EV0187,2022-06-25,Home Charging,30.0,8.0,360.0,Butwal,STN025,17
CHG00014,EV0556,2022-02-26,Public Fast Charging,32.0,0.6,608.0,Kapilvastu,STN087,32
CHG00015,EV0347,2022-12-10,Public Slow Charging,19.7,6.3,275.8,Tikapur,STN090,33
CHG00016,EV0386,2022-03-14,Public Slow Charging,23.2,4.5,278.4,Dhulikhel,STN081,39
CHG00017,EV0316,2024-12-23,Public Slow Charging,25.6,3.0,358.4,Gorkha,STN060,19
CHG00018,EV0572,2024-03-07,Public Fast Charging,16.0,0.9,368.0,Dharan,STN075,31
CHG00019,EV0346,2024-08-15,Home Charging,12.0,6.6,108.0,Bhaktapur,STN019,30
CHG00020,EV0558,2024-06-02,Home Charging,23.0,3.8,184.0,Tulsipur,STN079,14
CHG00021,EV0466,2022-10-08,Public Slow Charging,27.1,5.4,243.9,Butwal,STN067,36
CHG00022,EV0167,2024-11-02,Workplace Charging,19.6,6.3,196.0,Pokhara,STN001,32
CHG00023,EV0668,2023-08-01,Public Slow Charging,11.6,4.1,150.8,Tikapur,STN094,10
CHG00024,EV0224,2022-11-08,Public Slow Charging,30.8,3.9,431.2,Panauti,STN022,21
CHG00025,EV0625,2023-01-01,Public Fast Charging,22.8,1.1,387.6,Bhaktapur,STN086,36
CHG00026,EV0493,2022-11-23,Public Fast Charging,37.1,1.3,630.7,Tulsipur,STN071,24
CHG00027,EV0553,2024-03-23,Home Charging,32.0,3.9,352.0,Beni,STN005,39
CHG00028,EV0350,2023-12-02,Home Charging,13.5,3.0,162.0,Lamjung,STN057,27
CHG00029,EV0034,2024-08-26,Public Slow Charging,28.3,3.1,367.9,Hetauda,STN003,29
CHG00030,EV0192,2024-06-10,Workplace Charging,23.4,7.1,304.2,Bhaktapur,STN035,19
CHG00031,EV0164,2024-08-31,Public Slow Charging,28.8,6.7,374.4,Lamjung,STN052,18
CHG00032,EV0455,2022-09-12,Public Fast Charging,36.2,1.5,687.8,Banepa,STN030,30
CHG00033,EV0517,2022-03-23,Home Charging,30.7,5.1,399.1,Gorkha,STN039,19
CHG00034,EV0650,2024-09-23,Public Slow Charging,32.4,4.6,486.0,Kathmandu,STN092,30
CHG00035,EV0143,2022-03-28,Home Charging,26.2,3.5,209.6,Nepalgunj,STN091,38
CHG00036,EV0311,2023-08-18,Workplace Charging,21.6,5.9,324.0,Bharatpur,STN030,18
CHG00037,EV0334,2023-01-17,Public Slow Charging,30.0,7.7,270.0,Mechinagar,STN090,28
CHG00038,EV0568,2022-12-31,Workplace Charging,33.9,4.8,372.9,Butwal,STN083,17
CHG00039,EV0423,2023-10-16,Home Charging,21.8,6.9,283.4,Attariya,STN053,40
CHG00040,EV0459,2022-09-06,Public Fast Charging,25.3,1.4,581.9,Dhulikhel,STN003,14
CHG00041,EV0695,2024-12-03,Workplace Charging,19.9,5.7,238.8,Mahendranagar,STN031,33
CHG00042,EV0623,2024-06-25,Workplace Charging,34.7,7.2,277.6,Dhulikhel,STN050,13
CHG00043,EV0045,2022-06-20,Public Fast Charging,33.6,1.2,604.8,Itahari,STN077,12
CHG00044,EV0531,2024-03-01,Public Fast Charging,32.2,1.2,515.2,Damak,STN003,36
CHG00045,EV0459,2022-09-24,Public Slow Charging,10.4,5.7,124.8,Dhulikhel,STN032,11
CHG00046,EV0581,2023-09-21,Public Slow Charging,16.0,4.5,128.0,Jaleshwor,STN075,17
CHG00047,EV0338,2022-10-01,Home Charging,18.2,4.8,163.8,Waling,STN005,40
CHG00048,EV0459,2022-01-20,Public Slow Charging,20.1,3.6,201.0,Dhulikhel,STN094,11
CHG00049,EV0374,2023-02-25,Public Slow Charging,13.0,7.6,143.0,Bharatpur,STN099,16
CHG00050,EV0209,2024-12-03,Workplace Charging,31.6,4.4,442.4,Damak,STN003,21
CHG00051,EV0641,2022-11-24,Workplace Charging,25.3,5.9,354.2,Tulsipur,STN019,23
CHG00052,EV0386,2022-01-24,Public Fast Charging,32.8,1.2,656.0,Dhulikhel,STN025,20
CHG00053,EV0028,2023-11-21,Public Fast Charging,21.0,0.9,483.0,Kapilvastu,STN015,17
CHG00054,EV0388,2024-03-30,Public Fast Charging,19.0,0.9,285.0,Attariya,STN047,15
CHG00055,EV0608,2024-04-17,Public Fast Charging,21.7,1.0,455.7,Itahari,STN031,26
CHG00056,EV0324,2023-01-14,Public Slow Charging,23.6,5.1,330.4,Kapilvastu,STN076,14
CHG00057,EV0517,2024-02-21,Public Fast Charging,17.9,1.2,447.5,Gorkha,STN059,17
CHG00058,EV0042,2024-04-26,Home Charging,27.3,3.7,409.5,Birgunj,STN065,22
CHG00059,EV0286,2023-07-13,Public Fast Charging,32.9,0.8,723.8,Jaleshwor,STN036,13
CHG00060,EV0019,2022-02-15,Public Slow Charging,21.5,5.6,322.5,Tansen,STN079,29
CHG00061,EV0099,2023-10-23,Public Fast Charging,39.3,0.7,943.2,Waling,STN099,24
CHG00062,EV0446,2024-11-12,Public Fast Charging,38.9,0.7,622.4,Dhulikhel,STN059,35
CHG00063,EV0013,2023-02-02,Home Charging,11.6,5.8,116.0,Dharan,STN090,31
CHG00064,EV0349,2023-07-16,Workplace Charging,27.8,5.6,361.4,Dhulikhel,STN047,11
CHG00065,EV0386,2023-12-16,Public Fast Charging,20.9,0.7,397.1,Dhulikhel,STN035,30
CHG00066,EV0328,2023-06-27,Home Charging,28.1,6.1,337.2,Tulsipur,STN028,10
CHG00067,EV0107,2023-07-16,Home Charging,11.7,3.4,140.4,Tulsipur,STN050,32
CHG00068,EV0639,2023-05-02,Home Charging,35.0,6.5,350.0,Pokhara,STN066,10
CHG00069,EV0419,2022-05-21,Public Slow Charging,28.1,6.9,421.5,Kathmandu,STN022,23
CHG00070,EV0005,2022-01-28,Home Charging,34.1,3.7,443.3,Damak,STN030,15
CHG00071,EV0244,2024-02-01,Public Slow Charging,20.1,5.5,281.4,Lalitpur,STN052,14
CHG00072,EV0244,2022-10-06,Public Slow Charging,21.0,6.4,231.0,Lalitpur,STN027,36
CHG00073,EV0402,2022-01-21,Home Charging,13.9,3.8,208.5,Attariya,STN014,13
CHG00074,EV0556,2022-05-02,Public Slow Charging,29.0,6.9,319.0,Kapilvastu,STN069,40
CHG00075,EV0433,2023-09-14,Home Charging,18.2,6.1,145.6,Tulsipur,STN063,20
CHG00076,EV0112,2023-02-27,Public Slow Charging,11.8,6.5,118.0,Tikapur,STN069,39
CHG00077,EV0372,2024-08-27,Home Charging,22.0,5.1,176.0,Rajbiraj,STN031,40
CHG00078,EV0042,2024-07-21,Public Slow Charging,19.3,5.4,193.0,Birgunj,STN054,11
CHG00079,EV0046,2024-03-25,Public Slow Charging,31.6,3.9,410.8,Nepalgunj,STN001,37
CHG00080,EV0352,2023-08-22,Public Slow Charging,12.8,3.2,128.0,Tansen,STN003,40
CHG00081,EV0465,2024-05-30,Public Fast Charging,32.0,1.3,512.0,Dharan,STN063,38
CHG00082,EV0184,2024-03-28,Public Fast Charging,18.4,0.5,404.8,Birgunj,STN087,14
CHG00083,EV0061,2022-03-12,Home Charging,21.5,5.6,279.5,Bharatpur,STN045,31
CHG00084,EV0448,2024-11-23,Public Slow Charging,24.4,3.4,317.2,Tulsipur,STN007,12
CHG00085,EV0206,2023-09-22,Workplace Charging,21.8,3.3,239.8,Lalitpur,STN037,20
CHG00086,EV0669,2024-12-16,Home Charging,26.6,4.8,372.4,Tansen,STN057,32
CHG00087,EV0395,2023-01-01,Public Fast Charging,37.3,0.9,820.6,Birendranagar,STN031,11
CHG00088,EV0129,2024-05-31,Public Slow Charging,11.5,7.1,161.0,Itahari,STN010,27
CHG00089,EV0664,2022-04-27,Home Charging,13.6,3.7,163.2,Bhaktapur,STN072,23
CHG00090,EV0231,2023-02-10,Public Slow Charging,19.2,6.8,153.6,Waling,STN018,28
CHG00091,EV0359,2024-09-12,Home Charging,18.2,7.2,273.0,Janakpur,STN100,29
CHG00092,EV0039,2023-06-18,Public Slow Charging,13.4,6.0,147.4,Lamjung,STN036,19
CHG00093,EV0386,2023-06-03,Workplace Charging,34.4,8.0,447.2,Dhulikhel,STN043,38
CHG00094,EV0425,2024-12-12,Home Charging,12.6,6.9,151.2,Hetauda,STN068,10
CHG00095,EV0476,2022-05-17,Home Charging,18.7,7.0,224.4,Janakpur,STN011,18
